date,HHA11AS001XQ01,HHA31AS001XQ01,HHA51AS001XQ01,HHA71AS001XQ01,HHA81AS001XQ01,HNA00AA001AXQ01,HNA00AA002AXQ01,LAF14CG101XQ01,LAF31CG101XQ01,LAF33CG101XQ01
2016/3/1 4:09,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 4:10,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:11,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 4:12,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:13,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 4:14,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 4:15,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:16,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 4:17,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:18,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:19,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:20,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 4:21,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 4:22,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:23,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 4:24,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 4:25,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:26,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 4:27,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:28,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 4:29,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 4:30,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 4:31,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 4:32,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 4:33,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 4:34,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:35,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:36,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 4:37,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 4:38,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:39,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 4:40,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:41,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:42,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 4:43,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:44,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:45,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:46,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:47,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 4:48,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 4:49,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:50,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:51,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:52,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:53,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:54,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:55,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:56,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:57,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 4:58,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:59,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 5:00,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 5:01,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 5:02,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 5:03,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 5:04,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 5:05,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 5:06,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 5:07,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 5:08,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 5:09,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 5:10,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 5:11,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 5:12,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 5:13,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 5:14,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 5:15,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 5:16,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 5:17,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 5:18,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 5:19,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 5:20,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 5:21,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 5:22,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 5:23,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 5:24,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 5:25,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 5:26,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 5:27,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 5:28,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 5:29,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 5:30,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 5:31,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 5:32,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 5:33,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
